Titel;Englisch;Definition;Quelle;Gesamter Inhalt;Url
Gesuchsteller;(applicant);Juristisch: Klinische Versuche mit Heilmitteln müssen – mit Ausnahme solcher der Kategorie A – sowohl vom Institut als auch der zuständigen Ethikkommission beurteilt werden... Wie bis anhin tritt in der Regel die Prüfperson (d.h. der Investigator, auch Prüferin bzw. Prüfer genannt) als Verfahrenspartei gegenüber der Ethikkommission auf.. es ist neu nach Absatz 3 möglich, dass der Sponsor als Gesuchsteller gegenüber der Ethikkommission auftritt. Er steht damit auch in der Pflicht, sämtliche der Prüfperson in der Kommunikation gegenüber der Ethikkommission übertragenen Aufgaben wahrzunehmen. Dieser Wechsel der Person des Gesuchstellers kann unter Umständen dann sinnvoll sein, wenn sich der Sponsor ohnehin sehr stark in die Planung und Ausgestaltung des klinischen Versuchs einbringt und deshalb auch allfällige Anpassungen rasch und kompetent durch ihn ausgeführt werden können.;Quelle: BAG (2013): Erläuternder Bericht über die Verordnungen zum Humanforschungsgesetz (21. August 2013). ;"Juristisch:
Klinische Versuche mit Heilmitteln müssen – mit Ausnahme solcher der Kategorie A – sowohl vom Institut als auch der zuständigen Ethikkommission beurteilt werden... Wie bis anhin tritt in der Regel die Prüfperson (d.h. der Investigator, auch Prüferin bzw. Prüfer genannt) als Verfahrenspartei gegenüber der Ethikkommission auf.. es ist neu nach Absatz 3 möglich, dass der Sponsor als Gesuchsteller gegenüber der Ethikkommission auftritt. Er steht damit auch in der Pflicht, sämtliche der Prüfperson in der Kommunikation gegenüber der Ethikkommission übertragenen Aufgaben wahrzunehmen. Dieser Wechsel der Person des Gesuchstellers kann unter Umständen dann sinnvoll sein, wenn sich der Sponsor ohnehin sehr stark in die Planung und Ausgestaltung des klinischen Versuchs einbringt und deshalb auch allfällige Anpassungen rasch und kompetent durch ihn ausgeführt werden können.
Quelle: BAG (2013): Erläuternder Bericht über die Verordnungen zum Humanforschungsgesetz (21. August 2013).";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=164
Gesundheit;(health);Zustand des vollständigen körperlichen, geistigen und sozialen Wohlergehens und nicht nur das Freisein von Krankheit oder Gebrechen.;Quelle: Constitution of the World Health Organization 1946. Online verfügbar unter http://www.who.int/governance/eb/who_constitution_en.pdf, zuletzt geprüft am 03/02/2014.;"Zustand des vollständigen körperlichen, geistigen und sozialen Wohlergehens und nicht nur das Freisein von Krankheit oder Gebrechen.
Quelle: Constitution of the World Health Organization 1946. Online verfügbar unter http://www.who.int/governance/eb/who_constitution_en.pdf, zuletzt geprüft am 03/02/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=165
Gesundheitsbefragungen;(health interview surveys);Eine Methode zur Erfassung der wahrgenommenen Gesundheit, Morbidität und Inanspruchnahme medizinischer Dienstleistungen.;Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber. ;"Eine Methode zur Erfassung der wahrgenommenen Gesundheit, Morbidität und Inanspruchnahme medizinischer Dienstleistungen.
Quelle: Felix Gutzwiler und Fred Paccaud (2007) in: Felix Gutzwiler und Fred Paccaud (Hrsg.), Sozial und Präventivmedizin Public Health (3 Ed.). Verlag Hans Huber.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=166
Gesundheitsbezogene Internvention;(Health-related intervention);Juristisch: ;Quelle: ;"Juristisch:

präventive, diagnostische, therapeutische, palliative oder rehabilitative Handlung, die im Rahmen eines klinischen Versuchs untersucht wird

Quelle: 
Art. 2 KlinV";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=525
Gesundheitsbezogene Personendaten;(personal data relating to health);Informationen über eine bestimmte oder bestimmbare Person, die sich auf deren Gesundheit oder Krankheit beziehen, einschliesslich ihrer genetischen Daten.;Quelle: Art. 3 HFG;"Informationen über eine bestimmte oder bestimmbare Person, die sich auf deren Gesundheit oder Krankheit beziehen, einschliesslich ihrer genetischen Daten.
Quelle: Art. 3 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=167
Gewebebank;(tissue bank);Eine Lagerungsstätte (menschlicher) Gewebe, die für medizinische Zwecke (Transplantationen) eingesetzt werden sollen.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Eine Lagerungsstätte (menschlicher) Gewebe, die für medizinische Zwecke (Transplantationen) eingesetzt werden sollen.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=168
Grundlagenforschung;(basic research);Juristisch: Die Grundlagenforschung betrifft allgemein die Funktionsweisen biologischer Systeme und Prozesse. Sie liefert unverzichtbare Basiserkenntnisse etwa über Aufbau und Funktionen von Zellen und Organen. Darüber hinaus können in der Grundlagenforschung Erkenntnisse über Ursachen und Entstehung von Krankheiten des menschlichen Körpers wie auch von psychischen Krankheiten gewonnen werden, die in die klinische Forschung einfliessen. Zu den wichtigen Bereichen der Grundlagenforschung zählen die Anatomie, die Physiologie und die Pathophysiologie.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Die Grundlagenforschung betrifft allgemein die Funktionsweisen biologischer Systeme und Prozesse. Sie liefert unverzichtbare Basiserkenntnisse etwa über Aufbau und Funktionen von Zellen und Organen. Darüber hinaus können in der Grundlagenforschung Erkenntnisse über Ursachen und Entstehung von Krankheiten des menschlichen Körpers wie auch von psychischen Krankheiten gewonnen werden, die in die klinische Forschung einfliessen. Zu den wichtigen Bereichen der Grundlagenforschung zählen die Anatomie, die Physiologie und die Pathophysiologie.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=173
Grundsatz;(principle);Juristisch: Ein Grundsatz ist eine Erkenntnis, Aussage oder Regel, welche die Basis für nachfolgende Überlegungen, Aussagen oder Tätigkeiten bildet.;Quelle: Wikipedia: http://de.wikipedia.org/wiki/Grundsatz;"Ein Grundsatz ist eine Erkenntnis, Aussage oder Regel, welche die Basis für nachfolgende Überlegungen, Aussagen oder Tätigkeiten bildet.
Quelle: Wikipedia: http://de.wikipedia.org/wiki/Grundsatz
Juristisch:
Grundsatz in Bezug auf Forschung am Menschen: Vorrang der Interessen des Menschen (Art.4)Wissenschaftlich relevante Fragestellung (Art. 5)Nichtdiskriminierung (Art .6)Einwilligung (Art. 7)Recht auf Information (Art. 8)Kommerzialisierungsverbot (Art. 9)Wissenschaftliche Anforderungen (Art. 10)





Quelle: HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=174
Gute klinische Praxis;(good clinical practice GCP);Internationaler ethischer und wissenschaftlicher Standard betreffend Planung, Durchführung, Monitoring, Datenverwaltung sowie Ergebnispräsentation von klinischen Studien. In der Schweizer Gesetzgebung wird explizit Bezug auf die von der International Conference of Harmonization (ICH) erlassenen Richtlinien der Guten Klinischen Praxis (ICH GCP E6) verwiesen.;Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.;"Internationaler ethischer und wissenschaftlicher Standard betreffend Planung, Durchführung, Monitoring, Datenverwaltung sowie Ergebnispräsentation von klinischen Studien. In der Schweizer Gesetzgebung wird explizit Bezug auf die von der International Conference of Harmonization (ICH) erlassenen Richtlinien der Guten Klinischen Praxis (ICH GCP E6) verwiesen.
Quelle: SAMW (2009). Forschung mit Menschen – Ein Leitfaden für die Praxis. Schwabe AG, Basel/Muttenz.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=170
Gute Laborpraxis;(good laboratory practice GLP);Qualitätssystem, das den organisatorischen Ablauf von (nicht klinischen Sicherheits-) Prüfungen, die Rahmenbedingungen, unter denen diese geplant, durchgeführt und überwacht werden, sowie die Aufzeichnung, Berichterstattung und Archivierung dieser Prüfungen umfasst.;Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.;"Qualitätssystem, das den organisatorischen Ablauf von (nicht klinischen Sicherheits-) Prüfungen, die Rahmenbedingungen, unter denen diese geplant, durchgeführt und überwacht werden, sowie die Aufzeichnung, Berichterstattung und Archivierung dieser Prüfungen umfasst.
Quelle: Glossar des Bundesamts für Gesundheit. Online verfügbar unter http://www.bag.admin.ch/glossar/index.html?lang=de, zuletzt geprüft am 07/05/2013.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=176
Güterabwegung;(weighing of interests);Juristisch: Bei den ethischen Prinzipien der Schadensvermeidung und Fürsorge ist die Abwägung von Nutzen und Risiken, die ein Forschungsprojekt mit sich bringt, zentral. Eine Güterabwägung im Rahmen therapeutisch orientierter Forschung muss ergeben, dass der erwartete Nutzen und die voraussehbaren Risiken und Belastungen für die teilnehmenden Personen in einem ausgewogenen Verhältnis zueinander stehen. Ist dies nicht der Fall, so dürfen Personen gar nicht erst um eine Einwilligung angefragt werden.;Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Bei den ethischen Prinzipien der Schadensvermeidung und Fürsorge ist die Abwägung von Nutzen und Risiken, die ein Forschungsprojekt mit sich bringt, zentral. Eine Güterabwägung im Rahmen therapeutisch orientierter Forschung muss ergeben, dass der erwartete Nutzen und die voraussehbaren Risiken und Belastungen für die teilnehmenden Personen in einem ausgewogenen Verhältnis zueinander stehen. Ist dies nicht der Fall, so dürfen Personen gar nicht erst um eine Einwilligung angefragt werden.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=177
Haftpflicht;(liability);"Juristisch: Haftpflichtig ist die das Projekt veranlassende Person oder Organisation; diese wird in anerkannten Richtlinien zur Guten Klinischen Praxis als Sponsor bezeichnet. Institutionen, die Projekte zwar massgeblich unterstützen, diese aber nicht selber veranlassen (z.B. der Schweizerische Nationalfonds zur Förderung der wissenschaftlichen Forschung), unterliegen der Haftpflicht nach dieser Bestimmung nicht.";Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.;"Juristisch:
Haftpflichtig ist die das Projekt veranlassende Person oder Organisation; diese wird in anerkannten Richtlinien zur Guten Klinischen Praxis als Sponsor bezeichnet. Institutionen, die Projekte zwar massgeblich unterstützen, diese aber nicht selber veranlassen (z.B. der Schweizerische Nationalfonds zur Förderung der wissenschaftlichen Forschung), unterliegen der Haftpflicht nach dieser Bestimmung nicht.
Quelle: Botschaft zum Bundesgesetz über die Forschung am Menschen. Online verfügbar unter http://www.admin.ch/opc/de/federal-gazette/2009/8045.pdf, zuletzt geprüft am 30/01/2014.";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=178
Haftung;(liability);"Juristisch: Wer die Durchführung eines Forschungsprojekts mit Personen veranlasst, haftet für den Schaden, den sie im Zusammenhang mit dem Projekt erleiden. Der Bundesrat kann Ausnahmen von der Haftpflicht vorsehen.Die Ersatzansprüche verjähren drei Jahre, nachdem die geschädigte Person Kenntnis vom Schaden und von der haftpflichtigen Person erlangt hat, spätestens aber zehn Jahre nach Abschluss des Forschungsprojekts. Der Bundesrat kann für einzelne Forschungsbereiche eine längere Frist festlegen. Im Übrigen gelten die Bestimmungen des Obligationenrechts über die unerlaubten Handlungen; bei der Ausübung einer amtlichen Tätigkeit gilt das Verantwortlichkeitsgesetz vom 14. März 19585 beziehungsweise das kantonale Staatshaftungsrecht.";Quelle: Art. 19 HFG;"Juristisch:
Wer die Durchführung eines Forschungsprojekts mit Personen veranlasst, haftet für den Schaden, den sie im Zusammenhang mit dem Projekt erleiden. Der Bundesrat kann Ausnahmen von der Haftpflicht vorsehen.Die Ersatzansprüche verjähren drei Jahre, nachdem die geschädigte Person Kenntnis vom Schaden und von der haftpflichtigen Person erlangt hat, spätestens aber zehn Jahre nach Abschluss des Forschungsprojekts. Der Bundesrat kann für einzelne Forschungsbereiche eine längere Frist festlegen. Im Übrigen gelten die Bestimmungen des Obligationenrechts über die unerlaubten Handlungen; bei der Ausübung einer amtlichen Tätigkeit gilt das Verantwortlichkeitsgesetz vom 14. März 19585 beziehungsweise das kantonale Staatshaftungsrecht.
Quelle: Art. 19 HFG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=179
Handlungsfähigkeit ;(capacity to act);Juristisch: Handlungsfähigkeit: Fähigkeit, durch eigenes Verhalten Rechte zu erwerben und Pflichten zu begründen.Die Handlungsfähigkeit besitzt, wer volljährig und urteilsfähig ist.Volljährig ist, wer das 18. Lebensjahr zurückgelegt hat.Urteilsfähig im Sinne dieses Gesetzes ist jede Person, der nicht wegen ihres Kindesalters, infolge geistiger Behinderung, psychischer Störung, Rausch oder ähnlicher Zustände die Fähigkeit mangelt, vernunftgemäss zu handeln.;Quelle: Art. 12 ZGBArt. 13 ZGBArt. 14 ZGBArt. 16 ZGB;"Juristisch:
Handlungsfähigkeit: Fähigkeit, durch eigenes Verhalten Rechte zu erwerben und Pflichten zu begründen.Die Handlungsfähigkeit besitzt, wer volljährig und urteilsfähig ist.Volljährig ist, wer das 18. Lebensjahr zurückgelegt hat.Urteilsfähig im Sinne dieses Gesetzes ist jede Person, der nicht wegen ihres Kindesalters, infolge geistiger Behinderung, psychischer Störung, Rausch oder ähnlicher Zustände die Fähigkeit mangelt, vernunftgemäss zu handeln.

Quelle: Art. 12 ZGBArt. 13 ZGBArt. 14 ZGBArt. 16 ZGB";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=180
Hauptprüfarzt ;(principal investigator);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=181
Heilanzeige;(therapeutic indication);;;;http://kofam.ch/de/categoriser/glossar-detail/?glossarID=186
Heilmittel;(therapeutic products);"Juristisch: Heilmittel sind Arzneimittel und Medizinprodukte.Arzneimittel: Produkte chemischen oder biologischen Ursprungs, die zur medizinischen Einwirkung auf den menschlichen oder tierischen Organismus bestimmt sind oder angepriesen werden, insbesondere zur Erkennung, Verhütung oder Behandlung von Krankheiten, Verletzungen und Behinderungen; zu den Arzneimitteln gehören auch Blut und Blutprodukte.Medizinprodukte: Produkte, einschliesslich Instrumente, Apparate, In-vitro-Diagnostika, Software und andere Gegenstände oder Stoffe, die für die medizinische Verwendung bestimmt sind oder angepriesen werden und deren Hauptwirkung nicht durch ein Arzneimittel erreicht wird.";Quelle: Art. 2 HMGArt. 4 HMG;"Juristisch:
Heilmittel sind Arzneimittel und Medizinprodukte.Arzneimittel: Produkte chemischen oder biologischen Ursprungs, die zur medizinischen Einwirkung auf den menschlichen oder tierischen Organismus bestimmt sind oder angepriesen werden, insbesondere zur Erkennung, Verhütung oder Behandlung von Krankheiten, Verletzungen und Behinderungen; zu den Arzneimitteln gehören auch Blut und Blutprodukte.Medizinprodukte: Produkte, einschliesslich Instrumente, Apparate, In-vitro-Diagnostika, Software und andere Gegenstände oder Stoffe, die für die medizinische Verwendung bestimmt sind oder angepriesen werden und deren Hauptwirkung nicht durch ein Arzneimittel erreicht wird.
Quelle: Art. 2 HMGArt. 4 HMG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=187
Heilmittelgesetz HMG ;(Therapeutic Products Act TPA);"Juristisch: Bundesgesetz über Arzneimittel und Medizinprodukte, Zweckartikel des Gessetzes: Dieses Gesetz soll zum Schutz der Gesundheit von Mensch und Tier gewährleisten, dass nur qualitativ hoch stehende, sichere und wirksame Heilmittel in Verkehr gebracht werden. Es soll zudem:a.Konsumentinnen und Konsumenten von Heilmitteln vor Täuschung schützen;b.dazu beitragen, dass die in Verkehr gebrachten Heilmittel ihrem Zweck entsprechend und massvoll verwendet werden;c.dazu beitragen, dass eine sichere und geordnete Versorgung mit Heilmitteln, einschliesslich der dafür nötigen fachlichen Information und Beratung, im ganzen Land angeboten wird.Geltungsbereich des Gesetzes: Dieses Gesetz gilt für:a.den Umgang mit Heilmitteln (Arzneimittel und Medizinprodukte), insbesondere für die Herstellung und das Inverkehrbringen;b.Betäubungsmittel im Sinne des Betäubungsmittelgesetzes vom 3. Oktober 1951, soweit sie als Heilmittel verwendet werden;c.Heilverfahren, wie Gentherapie, soweit sie in unmittelbarem Zusammenhang mit Heilmitteln stehen; der Bundesrat kann dazu besondere Bestimmungen erlassen.";Quelle: Art. 1 HMGArt. 2 HMG;"Juristisch:
Bundesgesetz über Arzneimittel und Medizinprodukte, Zweckartikel des Gessetzes: Dieses Gesetz soll zum Schutz der Gesundheit von Mensch und Tier gewährleisten, dass nur qualitativ hoch stehende, sichere und wirksame Heilmittel in Verkehr gebracht werden. Es soll zudem:a.Konsumentinnen und Konsumenten von Heilmitteln vor Täuschung schützen;b.dazu beitragen, dass die in Verkehr gebrachten Heilmittel ihrem Zweck entsprechend und massvoll verwendet werden;c.dazu beitragen, dass eine sichere und geordnete Versorgung mit Heilmitteln, einschliesslich der dafür nötigen fachlichen Information und Beratung, im ganzen Land angeboten wird.Geltungsbereich des Gesetzes: Dieses Gesetz gilt für:a.den Umgang mit Heilmitteln (Arzneimittel und Medizinprodukte), insbesondere für die Herstellung und das Inverkehrbringen;b.Betäubungsmittel im Sinne des Betäubungsmittelgesetzes vom 3. Oktober 1951, soweit sie als Heilmittel verwendet werden;c.Heilverfahren, wie Gentherapie, soweit sie in unmittelbarem Zusammenhang mit Heilmitteln stehen; der Bundesrat kann dazu besondere Bestimmungen erlassen.





Quelle: Art. 1 HMGArt. 2 HMG";http://kofam.ch/de/categoriser/glossar-detail/?glossarID=188
